type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,16374605,"{'pm10_standard': 26, 'pm25_standard': 40, 'pm100_standard': 42, 'particles_03um': 4722, 'particles_05um': 1360, 'particles_10um': 261, 'particles_25um': 10, 'particles_50um': 3, 'particles_100um': 3}","{'pm10_standard': 22, 'pm25_standard': 33, 'pm100_standard': 37, 'particles_03um': 4059, 'particles_05um': 1123, 'particles_10um': 185, 'particles_25um': 26, 'particles_50um': 4, 'particles_100um': 0}",29.56,35.29,401,112,422,12270,1836,2025-03-26 19:25:44.488242
2,817,16384615,"{'pm10_standard': 24, 'pm25_standard': 36, 'pm100_standard': 40, 'particles_03um': 4641, 'particles_05um': 1308, 'particles_10um': 205, 'particles_25um': 17, 'particles_50um': 4, 'particles_100um': 2}","{'pm10_standard': 24, 'pm25_standard': 32, 'pm100_standard': 36, 'particles_03um': 4323, 'particles_05um': 1179, 'particles_10um': 183, 'particles_25um': 18, 'particles_50um': 4, 'particles_100um': 0}",29.57,35.17,401,110,400,12286,1812,2025-03-26 19:25:54.477113
2,817,16394699,"{'pm10_standard': 25, 'pm25_standard': 40, 'pm100_standard': 41, 'particles_03um': 4629, 'particles_05um': 1344, 'particles_10um': 238, 'particles_25um': 17, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 31, 'pm100_standard': 33, 'particles_03um': 4221, 'particles_05um': 1129, 'particles_10um': 173, 'particles_25um': 10, 'particles_50um': 2, 'particles_100um': 0}",29.6,35.02,400,109,413,12271,1760,2025-03-26 19:26:04.541726
2,817,16404779,"{'pm10_standard': 26, 'pm25_standard': 37, 'pm100_standard': 39, 'particles_03um': 4806, 'particles_05um': 1368, 'particles_10um': 227, 'particles_25um': 9, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 20, 'pm25_standard': 26, 'pm100_standard': 28, 'particles_03um': 3801, 'particles_05um': 1005, 'particles_10um': 140, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 0}",29.58,34.93,400,109,403,12285,1750,2025-03-26 19:26:14.604361
2,817,16414840,"{'pm10_standard': 25, 'pm25_standard': 37, 'pm100_standard': 38, 'particles_03um': 4707, 'particles_05um': 1339, 'particles_10um': 227, 'particles_25um': 10, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 20, 'pm25_standard': 28, 'pm100_standard': 28, 'particles_03um': 3729, 'particles_05um': 1003, 'particles_10um': 152, 'particles_25um': 6, 'particles_50um': 0, 'particles_100um': 0}",29.59,35.06,401,121,552,12169,1730,2025-03-26 19:26:24.648733
2,817,16424899,"{'pm10_standard': 28, 'pm25_standard': 41, 'pm100_standard': 42, 'particles_03um': 5001, 'particles_05um': 1391, 'particles_10um': 239, 'particles_25um': 20, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 20, 'pm25_standard': 28, 'pm100_standard': 29, 'particles_03um': 3759, 'particles_05um': 1017, 'particles_10um': 157, 'particles_25um': 8, 'particles_50um': 0, 'particles_100um': 0}",29.53,35.1,400,112,404,12282,1730,2025-03-26 19:26:34.683283
2,817,16434945,"{'pm10_standard': 24, 'pm25_standard': 38, 'pm100_standard': 39, 'particles_03um': 4563, 'particles_05um': 1337, 'particles_10um': 237, 'particles_25um': 16, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 28, 'pm100_standard': 35, 'particles_03um': 3834, 'particles_05um': 1042, 'particles_10um': 160, 'particles_25um': 24, 'particles_50um': 10, 'particles_100um': 4}",29.54,35.09,400,112,438,12257,1724,2025-03-26 19:26:44.715793
2,817,16445033,"{'pm10_standard': 26, 'pm25_standard': 39, 'pm100_standard': 40, 'particles_03um': 4815, 'particles_05um': 1396, 'particles_10um': 225, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 17, 'pm25_standard': 30, 'pm100_standard': 31, 'particles_03um': 3687, 'particles_05um': 978, 'particles_10um': 164, 'particles_25um': 30, 'particles_50um': 2, 'particles_100um': 0}",29.54,35.07,400,104,412,12278,1722,2025-03-26 19:26:54.784166
2,817,16455089,"{'pm10_standard': 27, 'pm25_standard': 39, 'pm100_standard': 40, 'particles_03um': 5001, 'particles_05um': 1428, 'particles_10um': 236, 'particles_25um': 6, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 19, 'pm25_standard': 30, 'pm100_standard': 32, 'particles_03um': 3795, 'particles_05um': 1024, 'particles_10um': 163, 'particles_25um': 26, 'particles_50um': 4, 'particles_100um': 0}",29.56,35.07,401,109,409,12272,1711,2025-03-26 19:27:04.826624
2,817,16465096,"{'pm10_standard': 24, 'pm25_standard': 37, 'pm100_standard': 39, 'particles_03um': 4479, 'particles_05um': 1284, 'particles_10um': 227, 'particles_25um': 11, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 21, 'pm25_standard': 29, 'pm100_standard': 31, 'particles_03um': 3984, 'particles_05um': 1071, 'particles_10um': 166, 'particles_25um': 18, 'particles_50um': 2, 'particles_100um': 0}",29.59,35.07,401,109,404,12277,1691,2025-03-26 19:27:14.814824
2,817,16475205,"{'pm10_standard': 27, 'pm25_standard': 39, 'pm100_standard': 39, 'particles_03um': 4869, 'particles_05um': 1392, 'particles_10um': 217, 'particles_25um': 9, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 32, 'pm100_standard': 33, 'particles_03um': 4056, 'particles_05um': 1101, 'particles_10um': 168, 'particles_25um': 20, 'particles_50um': 0, 'particles_100um': 0}",29.58,34.98,401,106,404,12274,1671,2025-03-26 19:27:24.895036
